source_platform,listing_url,listing_id,broker_reference,permit_number,property_number,plot_number,building,unit,cpid,source,freshness,confidence,verified_by,bridge_status,missing_bridge_fields
,,,,,,,,D40,CPID-UNIT-d40,Reportage_Inventory__Sylvana Availability__b5bc12621c.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,,CPID-HASH-500fdcc0491c0a59,Reportage_Inventory__REPORTAGE HEIGHTS 1 - B__68cb7f0e5e.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,S4522,CPID-UNIT-s4522,Reportage_Inventory__Monte Napoleone MNGT Units__274dd0842b.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,S4522,CPID-UNIT-s4522,Reportage_Inventory__Monte Napoleone MNGT Units__d46f8387c9.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,,CPID-HASH-500fdcc0491c0a59,6f1e3efe-637f-455e-9cc5-0d642d2242f3.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,,CPID-HASH-500fdcc0491c0a59,Data_Uae_Pak_Last__Property`s Type__4dd7ad70cb.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,157,,,CPID-PLOT-157,Data_Uae_Pak_Last__Area sqft__0256c24bc1.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,581,,,CPID-PLOT-581,Tiger Sky Tower-3902TigerContract document.pdf,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,AVENUEA,CPID-UNIT-avenuea,6572232c-d933-4c78-a2e8-29671dac7ca7.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,27459,,6757,,,CPID-PERMIT-27459,Palm_Jumeirah_Nakheel_Submission_Package_RevB_fixed.pdf,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,51392,,,,,CPID-PERMIT-51392,Contract F - Plot 18- Palm Crown - New (1).pdf,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,27459,,6757,,,CPID-PERMIT-27459,cpalmd (1).pdf,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,27459,,6757,,,CPID-PERMIT-27459,Palm_Jumeirah_Nakheel_updated.pdf,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,27459,,,,,CPID-PERMIT-27459,Plot-18_PJ-P-VP-018_REV-01_FINAL_Nakheel_Submission.pdf,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,27459,,6757,,,CPID-PERMIT-27459,Palm_Jumeirah_Nakheel_Submission_Package_RevB_final.pdf,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,27459,,,,,CPID-PERMIT-27459,extracted_text.txt,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,27459,,,,,CPID-PERMIT-27459,rev01_text.txt,,0,bridge_import,invalid_bridge,public_bridge_reference
