path,scope,category,size_bytes,pages_extracted,extraction_status,hits,error,text_preview
AIOS/KnowledgeBase/raw_data/pdf/65b5bcd48296__2885d7a7-6464-4de0-94bb-893d6b8f705b.pdf,property_intelligence,general_aios,3425730,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/f801517619c5__6aa0b0d1-8fa1-449f-8dcd-89769dfe580b.pdf,property_intelligence,general_aios,67858,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/dabd37edbfec__019768f1-6406-44e8-88c3-59636f28736a.pdf,property_intelligence,general_aios,939779,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/f2889327fa30__94db8ffc-753f-46d3-b004-b072f2950f41.pdf,property_intelligence,general_aios,19599496,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/cda450b37ecd__868a6936-595c-4637-b5d2-37dcf95058ad.pdf,property_intelligence,general_aios,362751,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/32dde722ff96__93e30698-6ca6-4716-9b38-892ebb639a00.pdf,property_intelligence,general_aios,119768,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/7c2f855ef143__b4bf7475-fd6c-44d2-a8ea-4f40a791fa19.pdf,property_intelligence,general_aios,18645669,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/0fa2349bc6dd__40d7c69d-dbef-4052-a249-f14362f31e1f.pdf,property_intelligence,general_aios,2402756,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/6de84dceb208__Palm_Jumeirah_Nakheel_updated.pdf,property_intelligence,nakheel_design_approval,12130923,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/84c8a9bb00b8__527561c3-7418-420a-b4c1-7b6e8c8afc83.pdf,property_intelligence,general_aios,320201,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/743d8adc8fc9__HSH-CLIENT-FACING-COMPANY-PROFILE-PACK.pdf,property_intelligence,general_aios,50071,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/9ef22aeb43cd__9983500e-2008-4296-af78-be7cc5292fa4.pdf,property_intelligence,general_aios,16071042,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/45f36c3705b9__85f4eac3-8254-4107-b3ed-0d1c802b9e2c.pdf,property_intelligence,general_aios,11966178,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/0c5d7ac575a8__tonino-lamborghini-vvip-hsh.pdf,property_intelligence,general_aios,11909093,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/944272334e66__0e698747-3afe-4536-8451-ef43bd9bbb9b.pdf,property_intelligence,general_aios,8997181,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/cbd2b922f514__a8f8bef2-9d3d-4514-bcb2-7975eb8f08b2.pdf,property_intelligence,general_aios,39138,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/e895698258e8__Juri Sudheimer passport.pdf,property_intelligence,general_aios,206243,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/5c0799522ee6__688bdfc4-a3bf-4464-b535-5c912e502d51.pdf,property_intelligence,general_aios,545418,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/a1359bbd8507__42a198d4-4f26-464c-870e-2e45b4d58ce6.pdf,property_intelligence,general_aios,1683520,0,SKIPPED_LOW_PRIORITY,,,
