area,building,unit,bedrooms,price,size,developer,source,source_date
REPORTAGE HILLS,REPORTAGE HILLS,RH-14-05,3,2720000,1873,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-14-06,3,2720000,1873,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-14-08,3,2720000,1873,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-14-09,3,2720000,1873,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-15-04,3,2720000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-15-05,3,2720000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-15-06,3,2720000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-15-07,3,2720000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-18-19,3,2595000,1873,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-18-25,3,2595000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-18-26,3,2595000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-18-27,3,2595000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-19-07,3,2595000,1873,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-19-14,3,2595000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-19-15,3,2595000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-19-16,3,2595000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-19-17,3,2595000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-19-18,3,2595000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-19-19,3,2595000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-19-20,3,2595000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-19-22,3,2595000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-20-04,3,2595000,1873,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-20-05,3,2595000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-20-07,3,2595000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-20-08,3,2595000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
