test_label,rank,resolver_record_id,area,project,building,unit,bedrooms,size,price,permit_number,property_number,plot_number,land_number,source_file,source_sheet,row_number,source_platform,listing_url,score,score_breakdown,confidence,status_label,owner_contact_available,input,parsed_platform,parsed_listing_id,parsed_area,parsed_project,parsed_building,parsed_bedrooms,parsed_size,parsed_price
text_only_3,3,ceed838476e28aa7,JVC,,,51L,2,,,,,246/3014,,Reportage_Inventory__3014__6ea2d12d01.xlsx,,,,,30,"[""same_area:+10"", ""same_bedrooms:+10"", ""text_overlap_50:+10""]",UNRESOLVED,UNRESOLVED,NO,JVC 2 bed,,,JVC,,2,2,,
text_only_3,4,b380009550e38ed5,JVC,,,51L,2,,,,,246/3014,,Reportage_Inventory__3014__abd925a1c4.xlsx,,,,,30,"[""same_area:+10"", ""same_bedrooms:+10"", ""text_overlap_50:+10""]",UNRESOLVED,UNRESOLVED,NO,JVC 2 bed,,,JVC,,2,2,,
text_only_3,5,b37875c17a154938,JVC,,,51L,2,,,,,246/3014,,Reportage_Inventory__3014__69038f24c0.xlsx,,,,,30,"[""same_area:+10"", ""same_bedrooms:+10"", ""text_overlap_50:+10""]",UNRESOLVED,UNRESOLVED,NO,JVC 2 bed,,,JVC,,2,2,,
text_only_3,6,98656622f84e34e9,JVC,,,51L,2,,,,,246/3014,,Reportage_Inventory__3014__39097fe6b2.xlsx,,,,,30,"[""same_area:+10"", ""same_bedrooms:+10"", ""text_overlap_50:+10""]",UNRESOLVED,UNRESOLVED,NO,JVC 2 bed,,,JVC,,2,2,,
text_only_3,7,54c32daef7826f1e,JVC,,,51L,2,,,,,246/3014,,Reportage_Inventory__3014__ac9a52ed89.xlsx,,,,,30,"[""same_area:+10"", ""same_bedrooms:+10"", ""text_overlap_50:+10""]",UNRESOLVED,UNRESOLVED,NO,JVC 2 bed,,,JVC,,2,2,,
text_only_3,8,3ef1ba2533addb5b,JVC,,,51L,2,,,,,246/3014,,KnowledgeBase_Master_Catalog.csv,,,,,30,"[""same_area:+10"", ""same_bedrooms:+10"", ""text_overlap_50:+10""]",UNRESOLVED,UNRESOLVED,NO,JVC 2 bed,,,JVC,,2,2,,
text_only_3,9,18c8b4c7748b748d,JVC,,,51L,2,,,,,246/3014,,Reportage_Inventory__3014__ccd1445561.xlsx,,,,,30,"[""same_area:+10"", ""same_bedrooms:+10"", ""text_overlap_50:+10""]",UNRESOLVED,UNRESOLVED,NO,JVC 2 bed,,,JVC,,2,2,,
text_only_3,10,raw-f8c8418ef4f07505,JVC,,autumn 2 block season community jvc district,,1,74.04 sqm,785000.0,,,,,raw_chat_style_dataset,,450,,,25,"[""same_area:+10"", ""same_property_type:+5"", ""text_overlap_50:+10""]",UNRESOLVED,UNRESOLVED,NO,JVC 2 bed,,,JVC,,2,2,,
text_only_3,11,raw-336c0adf8e11c583,JVC,,binghati royale jvc district,,1,86.21 sqm,1400000.0,,,,,raw_chat_style_dataset,,456,,,25,"[""same_area:+10"", ""same_property_type:+5"", ""text_overlap_50:+10""]",UNRESOLVED,UNRESOLVED,NO,JVC 2 bed,,,JVC,,2,2,,
text_only_3,12,7f9f69f79ea5c7e8,JVC,REEF RESIDENCE,district 13 reef,,,,,,,,,WhatsApp ChatStorage.sqlite,,,propertyfinder.ae,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-jumeirah-village-circle-district-13-reef-residence-15328874.html,25,"[""same_area:+10"", ""same_property_type:+5"", ""text_overlap_50:+10""]",UNRESOLVED,UNRESOLVED,NO,JVC 2 bed,,,JVC,,2,2,,
text_only_3,13,7f9f69f79ea5c7e8,JVC,Bloom Towers,bloom towers c,,,,,,,,,WhatsApp ChatStorage.sqlite,,,propertyfinder.ae,https://www.propertyfinder.ae/en/plp/buy/apartment-for-sale-dubai-jumeirah-village-circle-bloom-towers-bloom-towers-c-15296328.html,25,"[""same_area:+10"", ""same_property_type:+5"", ""text_overlap_50:+10""]",UNRESOLVED,UNRESOLVED,NO,JVC 2 bed,,,JVC,,2,2,,
text_only_3,14,7f9f69f79ea5c7e8,JVC,Jumeirah Village Circle,seasons community autumn,,,,,,,,,WhatsApp ChatStorage.sqlite,,,propertyfinder.ae,https://www.propertyfinder.ae/en/plp/buy/apartment-for-sale-dubai-jumeirah-village-circle-seasons-community-autumn-2-15442886.html,25,"[""same_area:+10"", ""same_property_type:+5"", ""text_overlap_50:+10""]",UNRESOLVED,UNRESOLVED,NO,JVC 2 bed,,,JVC,,2,2,,
text_only_3,15,7f9f69f79ea5c7e8,JVC,Jumeirah Village Circle,seasons community autumn,,,,,,,,,WhatsApp ChatStorage.sqlite,,,propertyfinder.ae,https://www.propertyfinder.ae/en/plp/buy/apartment-for-sale-dubai-jumeirah-village-circle-seasons-community-autumn-2-15300404.html,25,"[""same_area:+10"", ""same_property_type:+5"", ""text_overlap_50:+10""]",UNRESOLVED,UNRESOLVED,NO,JVC 2 bed,,,JVC,,2,2,,
text_only_3,16,242c8faf18579e01,JVC,Belgravia 2,78 245 681,792,,74.78,,,,,,JVC.xlsx,Old,97,,,20,"[""same_area:+10"", ""text_overlap_50:+10""]",UNRESOLVED,UNRESOLVED,YES,JVC 2 bed,,,JVC,,2,2,,
text_only_3,17,242c8faf18579e01,JVC,Belgravia 2,78 245 681,792,,74.78,,,,,,JVC.xlsx,Old,98,,,20,"[""same_area:+10"", ""text_overlap_50:+10""]",UNRESOLVED,UNRESOLVED,NO,JVC 2 bed,,,JVC,,2,2,,
text_only_3,18,242c8faf18579e01,JVC,HYATI RESIDENCE,00 363375 hyati residence jvc14lmrp200 1 hyati residences apartment,627,,42.03,,,,,,JVC.xlsx,Old,103,,,20,"[""same_area:+10"", ""text_overlap_50:+10""]",UNRESOLVED,UNRESOLVED,YES,JVC 2 bed,,,JVC,,2,2,,
text_only_3,19,242c8faf18579e01,JVC,HYATI RESIDENCE,00 363375 hyati residence jvc14lmrp200 1 hyati residences apartment,627,,42.03,,,,,,JVC.xlsx,Old,104,,,20,"[""same_area:+10"", ""text_overlap_50:+10""]",UNRESOLVED,UNRESOLVED,YES,JVC 2 bed,,,JVC,,2,2,,
text_only_3,20,242c8faf18579e01,JVC,HYATI RESIDENCE,00 363375 hyati residence jvc14lmrp200 1 hyati residences apartment,627,,42.03,,,,,,JVC.xlsx,Old,105,,,20,"[""same_area:+10"", ""text_overlap_50:+10""]",UNRESOLVED,UNRESOLVED,YES,JVC 2 bed,,,JVC,,2,2,,
text_only_4,1,0274e6abab0d15f9,B.T 5225 Maria Del Carmen Gamarra Apartment 2205 Beach Tower 1 97.25 m2 508242463,Beach Tower,t 5225 maria del carmen gamarra apartment 2205 beach,2205,,,,,,,,Data_Uae_Pak_Last__Property`s Type__39eae9c864.xlsx,Sheet1,2,,,40,"[""same_project:+20"", ""building_fuzzy:+10"", ""text_overlap_50:+10""]",UNRESOLVED,UNRESOLVED,YES,B.T 5225 Maria Del Carmen Gamarra Apartment 2205 Beach Tower 1 97.25 m2 508242463 Beach Tower t 5225 maria del carmen gamarra apartment 2205 beach tower bed,,,,Beach Tower,del carmen gamarra apartment 2205 beach,,97.25 sqm,
text_only_5,1,0274e6abab0d15f9,B.T 5226 Hussain Abdulrahim Abdulla Apartment 2206 Beach Tower 2 156.69 m2 551111171,Beach Tower,t 5226 hussain abdulrahim abdulla apartment 2206 beach,2206,,,,,,,,Data_Uae_Pak_Last__Property`s Type__39eae9c864.xlsx,Sheet1,3,,,36,"[""same_project:+20"", ""building_fuzzy:+10"", ""text_medium:+6""]",UNRESOLVED,UNRESOLVED,YES,B.T 5226 Hussain Abdulrahim Abdulla Apartment 2206 Beach Tower 2 156.69 m2 551111171 Beach Tower t 5226 hussain abdulrahim abdulla apartment 2206 beach tower bed,,,,Beach Tower,abdulrahim abdulla apartment 2206 beach,,156.69 sqm,
